OD;ORIGEM;DESTINO;PISTA;TURNO;DEMANDA;DISTANCIA
SBGOSBGR;SBGO;SBGR;3700;SEG1;134;809.52
SBGOSBSP;SBGO;SBSP;1940;SEG1;124;822.87
SBGOSBCY;SBGO;SBCY;2300;SEG1;86;744
SBGOSBPJ;SBGO;SBPJ;2500;SEG1;84;711.17
SBGOSBCT;SBGO;SBCT;2218;SEG1;81;989.87
SBGOSBGR;SBGO;SBGR;3700;SEG2;134;809.52
SBGOSBSP;SBGO;SBSP;1940;SEG2;124;822.87
SBGOSBCY;SBGO;SBCY;2300;SEG2;0;744
SBGOSBPJ;SBGO;SBPJ;2500;SEG2;0;711.17
SBGOSBCT;SBGO;SBCT;2218;SEG2;0;989.87
SBGOSBGR;SBGO;SBGR;3700;SEG3;134;809.52
SBGOSBSP;SBGO;SBSP;1940;SEG3;124;822.87
SBGOSBCY;SBGO;SBCY;2300;SEG3;0;744
SBGOSBPJ;SBGO;SBPJ;2500;SEG3;0;711.17
SBGOSBCT;SBGO;SBCT;2218;SEG3;0;989.87
SBGOSBGR;SBGO;SBGR;3700;SEG4;0;809.52
SBGOSBSP;SBGO;SBSP;1940;SEG4;0;822.87
SBGOSBCY;SBGO;SBCY;2300;SEG4;0;744
SBGOSBPJ;SBGO;SBPJ;2500;SEG4;0;711.17
SBGOSBCT;SBGO;SBCT;2218;SEG4;0;989.87
SBGRSBGO;SBGR;SBGO;3700;SEG1;134;809.52
SBSPSBGO;SBSP;SBGO;1940;SEG1;124;822.87
SBCYSBGO;SBCY;SBGO;2300;SEG1;0;744
SBPJSBGO;SBPJ;SBGO;2500;SEG1;0;711.17
SBCTSBGO;SBCT;SBGO;2218;SEG1;0;989.87
SBGRSBGO;SBGR;SBGO;3700;SEG2;134;809.52
SBSPSBGO;SBSP;SBGO;1940;SEG2;124;822.87
SBCYSBGO;SBCY;SBGO;2300;SEG2;0;744
SBPJSBGO;SBPJ;SBGO;2500;SEG2;0;711.17
SBCTSBGO;SBCT;SBGO;2218;SEG2;0;989.87
SBGRSBGO;SBGR;SBGO;3700;SEG3;134;809.52
SBSPSBGO;SBSP;SBGO;1940;SEG3;124;822.87
SBCYSBGO;SBCY;SBGO;2300;SEG3;86;744
SBPJSBGO;SBPJ;SBGO;2500;SEG3;84;711.17
SBCTSBGO;SBCT;SBGO;2218;SEG3;81;989.87
SBGRSBGO;SBGR;SBGO;3700;SEG4;0;809.52
SBSPSBGO;SBSP;SBGO;1940;SEG4;0;822.87
SBCYSBGO;SBCY;SBGO;2300;SEG4;0;744
SBPJSBGO;SBPJ;SBGO;2500;SEG4;0;711.17
SBCTSBGO;SBCT;SBGO;2218;SEG4;0;989.87
SBGRSBGR;SBGR;SBGR;0;SEG1;0;0
SBSPSBSP;SBSP;SBSP;0;SEG1;0;0
SBCYSBCY;SBCY;SBCY;0;SEG1;0;0
SBPJSBPJ;SBPJ;SBPJ;0;SEG1;0;0
SBCTSBCT;SBCT;SBCT;0;SEG1;0;0
SBGRSBGR;SBGR;SBGR;0;SEG2;0;0
SBSPSBSP;SBSP;SBSP;0;SEG2;0;0
SBCYSBCY;SBCY;SBCY;0;SEG2;0;0
SBPJSBPJ;SBPJ;SBPJ;0;SEG2;0;0
SBCTSBCT;SBCT;SBCT;0;SEG2;0;0
SBGRSBGR;SBGR;SBGR;0;SEG3;0;0
SBSPSBSP;SBSP;SBSP;0;SEG3;0;0
SBCYSBCY;SBCY;SBCY;0;SEG3;0;0
SBPJSBPJ;SBPJ;SBPJ;0;SEG3;0;0
SBCTSBCT;SBCT;SBCT;0;SEG3;0;0
SBGRSBGR;SBGR;SBGR;0;SEG4;0;0
SBSPSBSP;SBSP;SBSP;0;SEG4;0;0
SBCYSBCY;SBCY;SBCY;0;SEG4;0;0
SBPJSBPJ;SBPJ;SBPJ;0;SEG4;0;0
SBCTSBCT;SBCT;SBCT;0;SEG4;0;0
SBGOSBGO;SBGO;SBGO;0;SEG1;0;0
SBGOSBGO;SBGO;SBGO;0;SEG2;0;0
SBGOSBGO;SBGO;SBGO;0;SEG3;0;0
SBGOSBGO;SBGO;SBGO;0;SEG4;0;0
