OD;DESTINO;E190-E2;E195-E2;A220-100;A220-300;A319Neo;B737-M7;ATR-72
SBGOSBAR;SBAR;563.6018566322279;297.31026189644984;563.6018566322279;297.31026189644984;297.31026189644984;379.1215216617853;563.6018566322279
SBGOSBBE;SBBE;611.3549885528743;298.60020889149393;611.3549885528743;298.60020889149393;298.60020889149393;394.55105594629686;611.3549885528743
SBGOSBBR;SBBR;178.29645511242376;279.64238338278767;178.29645511242376;279.64238338278767;279.64238338278767;215.58315256688658;178.29645511242376
SBGOSBCF;SBCF;368.25263305222495;290.6505998394292;368.25263305222495;290.6505998394292;290.6505998394292;307.69615411821746;368.25263305222495
SBGOSBCG;SBCG;388.0328331767962;291.46122935775156;388.0328331767962;291.46122935775156;291.46122935775156;315.6947652322366;388.0328331767962
SBGOSBCT;SBCT;460.40081053525773;294.1265311409177;460.40081053525773;294.1265311409177;294.1265311409177;343.31692750111273;460.40081053525773
SBGOSBCY;SBCY;396.1953100352122;291.7843903638334;396.1953100352122;291.7843903638334;291.7843903638334;318.9347703163684;396.1953100352122
SBGOSBEG;SBEG;652.1446368967788;299.6286157862371;652.1446368967788;299.6286157862371;299.6286157862371;407.25066673580454;652.1446368967788
SBGOSBFI;SBFI;495.0914900926639;295.2661326639766;495.0914900926639;295.2661326639766;295.2661326639766;355.7705613961905;495.0914900926639
SBGOSBFL;SBFL;516.0355381077325;295.9180791770682;516.0355381077325;295.9180791770682;295.9180791770682;363.0747416564764;516.0355381077325
SBGOSBFZ;SBFZ;638.9220236656122;299.30207861335214;638.9220236656122;299.30207861335214;299.30207861335214;403.17939897412475;638.9220236656122
SBGOSBGL;SBGL;445.28012789223675;293.60415051327726;445.28012789223675;293.60415051327726;293.60415051327726;337.7393733619915;445.28012789223675
SBGOSBGR;SBGR;414.1805254860305;292.4747542844238;414.1805254860305;292.4747542844238;292.4747542844238;325.95584089444907;414.1805254860305
SBGOSBIL;SBIL;488.84842564819354;295.0667422353602;488.84842564819354;295.0667422353602;295.0667422353602;353.56297291842776;488.84842564819354
SBGOSBIZ;SBIZ;520.324081891093;296.04847728683995;520.324081891093;296.04847728683995;296.04847728683995;364.55161629396224;520.324081891093
SBGOSBJP;SBJP;644.4200464568071;299.4386242491229;644.4200464568071;299.4386242491229;299.4386242491229;404.8774157680128;644.4200464568071
SBGOSBJV;SBJV;479.08830548176894;294.750141179295;479.08830548176894;294.75014117929516;294.75014117929516;350.0827474194852;479.08830548176894
SBGOSBKP;SBKP;395.6571775079758;291.7632801004521;395.6571775079758;291.7632801004521;291.7632801004521;318.7222178765761;395.6571775079758
SBGOSBLO;SBLO;403.77687122974663;292.07895474083773;403.77687122974663;292.07895474083773;292.07895474083773;321.9138564114657;403.77687122974663
SBGOSBMA;SBMA;521.0248035354288;296.06968676642254;521.0248035354288;296.06968676642254;296.06968676642254;364.7923382340889;521.0248035354288
SBGOSBMG;SBMG;415.7200117653436;292.53252181840753;415.7200117653436;292.53252181840753;292.53252181840753;326.54954249000156;415.7200117653436
SBGOSBMO;SBMO;603.4895681445205;298.3944540725103;603.4895681445205;298.3944540725103;298.3944540725103;392.05303543633784;603.4895681445205
SBGOSBNF;SBNF;496.1674251861561;295.30025510951583;496.1674251861561;295.30025510951583;295.30025510951583;356.14958332733903;496.1674251861561
SBGOSBPA;SBPA;572.736629286533;297.5648261537057;572.7366292865335;297.5648261537057;297.5648261537057;382.12313919339937;572.7366292865335
SBGOSBPJ;SBPJ;386.9011221541226;291.41591660175396;386.9011221541226;291.41591660175396;291.41591660175396;315.2428141334651;386.9011221541226
SBGOSBPS;SBPS;482.45058505339665;294.85989152187693;482.45058505339665;294.85989152187693;294.85989152187693;351.28569997148554;482.45058505339665
SBGOSBPV;SBPV;633.848880524343;299.17509460006033;633.848880524343;299.17509460006033;299.17509460006033;401.60598621686836;633.848880524343
SBGOSBRB;SBRB;693.1050185726663;300.6017780478817;693.1050185726663;300.6017780478817;300.6017780478817;419.60232669440984;693.1050185726663
SBGOSBRF;SBRF;633.7186480924688;299.17182214726023;633.7186480924688;299.17182214726023;299.17182214726023;401.56551089641147;633.7186480924688
SBGOSBRJ;SBRJ;448.8674280569974;293.72958532474587;448.8674280569974;293.72958532474587;293.72958532474587;339.07124207441296;448.8674280569974
SBGOSBRP;SBRP;329.4180387466559;288.93149082246265;329.4180387466559;288.93149082246265;288.93149082246265;291.32844308405316;329.4180387466559
SBGOSBSG;SBSG;654.6466071518194;299.6896968076392;654.6466071518194;299.6896968076392;299.6896968076392;408.01628119516016;654.6466071518194
SBGOSBSL;SBSL;603.1463315261165;298.38541749791636;603.1463315261165;298.38541749791636;298.38541749791636;391.9436484723322;603.1463315261165
SBGOSBSP;SBSP;417.7593634503868;292.6087351839568;417.7593634503868;292.6087351839568;292.6087351839568;327.33429459807064;417.7593634503868
SBGOSBSV;SBSV;518.9749891682749;296.00756661516255;518.9749891682749;296.00756661516255;296.00756661516255;364.0876910511875;518.9749891682749
SBGOSBTE;SBTE;565.5378315034474;297.3645374534995;565.5378315034474;297.3645374534995;297.3645374534995;379.7597265846729;565.5378315034474
SBGOSBUL;SBUL;233.42876050899855;283.681981815491;233.42876050899855;283.681981815491;283.681981815491;246.04150115655318;233.42876050899855
SBGOSBVT;SBVT;469.03255497274506;294.417498325048;469.03255497274506;294.417498325048;294.417498325048;346.45911331745094;469.03255497274506
SBGOSWGN;SWGN;475.1104286180411;294.6193510567425;475.1104286180411;294.6193510567425;294.6193510567425;348.6539786709681;475.1104286180411
SBGOSWSI;SWSI;428.8010492776095;293.01535937592274;428.8010492776095;293.01535937592274;293.01535937592274;331.5496971234953;428.8010492776095
SBARSBGO;SBAR;563.6018566322279;297.31026189644984;563.6018566322279;297.31026189644984;297.31026189644984;379.1215216617853;563.6018566322279
SBBESBGO;SBBE;611.3549885528743;298.60020889149393;611.3549885528743;298.60020889149393;298.60020889149393;394.55105594629686;611.3549885528743
SBBRSBGO;SBBR;178.29645511242376;279.64238338278767;178.29645511242376;279.64238338278767;279.64238338278767;215.58315256688658;178.29645511242376
SBCFSBGO;SBCF;368.25263305222495;290.6505998394292;368.25263305222495;290.6505998394292;290.6505998394292;307.69615411821746;368.25263305222495
SBCGSBGO;SBCG;388.0328331767962;291.46122935775156;388.0328331767962;291.46122935775156;291.46122935775156;315.6947652322366;388.0328331767962
SBCTSBGO;SBCT;460.40081053525773;294.1265311409177;460.40081053525773;294.1265311409177;294.1265311409177;343.31692750111273;460.40081053525773
SBCYSBGO;SBCY;396.1953100352122;291.7843903638334;396.1953100352122;291.7843903638334;291.7843903638334;318.9347703163684;396.1953100352122
SBEGSBGO;SBEG;652.1446368967788;299.6286157862371;652.1446368967788;299.6286157862371;299.6286157862371;407.25066673580454;652.1446368967788
SBFISBGO;SBFI;495.0914900926639;295.2661326639766;495.0914900926639;295.2661326639766;295.2661326639766;355.7705613961905;495.0914900926639
SBFLSBGO;SBFL;516.0355381077325;295.9180791770682;516.0355381077325;295.9180791770682;295.9180791770682;363.0747416564764;516.0355381077325
SBFZSBGO;SBFZ;638.9220236656122;299.30207861335214;638.9220236656122;299.30207861335214;299.30207861335214;403.17939897412475;638.9220236656122
SBGLSBGO;SBGL;445.28012789223675;293.60415051327726;445.28012789223675;293.60415051327726;293.60415051327726;337.7393733619915;445.28012789223675
SBGRSBGO;SBGR;414.1805254860305;292.4747542844238;414.1805254860305;292.4747542844238;292.4747542844238;325.95584089444907;414.1805254860305
SBILSBGO;SBIL;488.84842564819354;295.0667422353602;488.84842564819354;295.0667422353602;295.0667422353602;353.56297291842776;488.84842564819354
SBIZSBGO;SBIZ;520.324081891093;296.04847728683995;520.324081891093;296.04847728683995;296.04847728683995;364.55161629396224;520.324081891093
SBJPSBGO;SBJP;644.4200464568071;299.4386242491229;644.4200464568071;299.4386242491229;299.4386242491229;404.8774157680128;644.4200464568071
SBJVSBGO;SBJV;479.08830548176894;294.750141179295;479.08830548176894;294.75014117929516;294.75014117929516;350.0827474194852;479.08830548176894
SBKPSBGO;SBKP;395.6571775079758;291.7632801004521;395.6571775079758;291.7632801004521;291.7632801004521;318.7222178765761;395.6571775079758
SBLOSBGO;SBLO;403.77687122974663;292.07895474083773;403.77687122974663;292.07895474083773;292.07895474083773;321.9138564114657;403.77687122974663
SBMASBGO;SBMA;521.0248035354288;296.06968676642254;521.0248035354288;296.06968676642254;296.06968676642254;364.7923382340889;521.0248035354288
SBMGSBGO;SBMG;415.7200117653436;292.53252181840753;415.7200117653436;292.53252181840753;292.53252181840753;326.54954249000156;415.7200117653436
SBMOSBGO;SBMO;603.4895681445205;298.3944540725103;603.4895681445205;298.3944540725103;298.3944540725103;392.05303543633784;603.4895681445205
SBNFSBGO;SBNF;496.1674251861561;295.30025510951583;496.1674251861561;295.30025510951583;295.30025510951583;356.14958332733903;496.1674251861561
